"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"225919E","1","1","1","1","1","0","0","20250903","20251231"
"225922E","1","1","1","1","1","0","0","20250903","20251231"
"225923E","1","1","1","1","1","0","0","20250903","20251231"
"225928E","1","1","1","1","1","0","0","20250903","20250909"
"225931E","1","1","1","1","1","1","0","20250910","20251231"
"225940E","0","0","0","0","0","0","1","20250914","20251228"
"225944E","0","0","0","0","0","0","0","20251225","20251225"
"225945E","0","0","0","0","0","0","0","20251225","20251225"
"225949E","0","0","0","0","0","1","0","20250906","20251227"
"225951E","0","0","0","0","0","1","0","20250906","20250906"
"225953E","0","0","0","0","0","1","0","20250913","20251227"
"225954E","1","1","1","1","1","1","0","20250910","20251220"
"225955E","0","1","1","0","0","0","0","20250910","20251217"
"225956E","0","1","1","1","1","0","0","20250910","20251219"
"225957E","0","0","0","0","0","1","0","20250913","20251220"
"225958E","0","0","0","0","0","1","0","20250913","20251220"
"225959E","1","1","1","1","1","0","0","20250910","20251219"
"225961E","1","1","1","1","1","0","0","20250910","20251219"
"225962E","1","1","1","1","1","1","0","20250903","20251231"
"225965E","1","1","1","1","1","1","0","20250903","20251231"
"225971E","1","1","1","1","1","0","0","20250903","20250909"
"225972E","1","1","1","1","1","0","0","20250903","20250909"
"225974E","1","1","1","1","1","0","0","20250910","20251219"
"225994E","1","1","1","1","1","0","0","20250903","20251231"
"225999E","1","1","1","0","0","0","0","20251222","20251231"
"226001E","1","1","1","1","1","0","0","20250903","20251231"
"226008E","1","1","1","1","1","1","0","20250903","20250909"
"226011E","1","1","1","1","1","1","0","20250910","20251231"
"226013E","1","1","1","1","1","1","0","20250908","20251231"
"226015E","0","0","0","0","0","0","1","20250907","20251228"
"226016E","0","0","0","0","0","0","1","20250914","20251228"
"226023E","0","0","0","0","0","1","0","20250906","20251227"
"226027E","0","0","0","0","0","1","0","20250906","20250906"
"226028E","0","0","1","0","0","0","0","20250910","20251217"
"226029E","0","0","0","0","1","0","0","20250912","20251219"
"226034E","1","1","1","1","1","1","0","20250903","20251231"
"226036E","1","1","1","1","1","0","0","20250910","20251231"
"226055E","1","1","1","1","1","0","0","20250903","20251231"
"226056E","1","1","1","1","1","0","0","20250903","20251219"
"226062E","1","1","1","0","0","0","0","20251222","20251231"
"226063E","1","1","1","0","0","0","0","20251222","20251231"
"226064E","1","1","1","0","0","0","0","20251222","20251231"
"226065E","1","1","1","1","1","0","0","20250903","20251231"
"226072E","1","1","1","1","1","1","0","20250910","20251231"
"226077E","0","0","0","0","0","0","1","20250907","20251228"
"226079E","0","0","0","0","0","0","0","20251225","20251225"
"226081E","0","0","0","0","0","1","0","20250906","20251227"
"226082E","0","0","0","0","0","1","0","20250906","20251227"
"226084E","0","0","0","0","0","1","0","20250906","20251227"
"226087E","0","0","0","0","0","1","0","20250906","20250906"
"226088E","0","0","0","0","0","1","0","20250906","20250906"
"226089E","0","0","0","0","0","1","0","20251227","20251227"
"226090E","0","0","0","0","0","1","0","20250906","20250906"
"226091E","1","0","0","0","0","0","0","20250915","20251215"
"226092E","1","1","1","1","0","0","0","20250910","20251218"
"226093E","0","0","0","1","0","0","0","20250911","20251218"
"226094E","1","1","1","1","1","0","0","20250910","20251219"
"226095E","1","1","1","1","1","0","0","20250910","20251219"
"226096E","1","1","1","1","1","0","0","20250910","20251219"
"226097E","1","1","1","1","1","0","0","20250910","20251219"
"226109E","1","1","1","1","1","0","0","20250910","20251231"
"226110E","1","1","1","1","1","0","0","20250910","20251231"
"226113E","1","1","1","1","1","0","0","20250908","20251231"
"226117E","1","0","0","0","0","0","0","20250908","20251229"
"226120E","0","1","1","1","1","0","0","20250903","20251231"
"226131E","1","1","1","0","0","0","0","20251222","20251231"
"226142E","1","1","1","1","1","0","0","20250903","20250909"
"226145E","1","1","1","1","1","1","0","20250903","20250909"
"226147E","1","1","1","1","1","1","0","20250903","20250909"
"226150E","1","1","1","1","1","1","0","20250910","20251231"
"226161E","0","0","0","0","0","0","0","20251225","20251225"
"226168E","1","0","0","0","0","0","0","20250915","20251215"
"226169E","1","1","0","1","0","0","0","20250911","20251218"
"226170E","1","0","1","0","0","0","0","20250910","20251217"
"226172E","0","1","1","1","1","0","0","20250910","20251219"
"226173E","0","1","0","1","1","0","0","20250911","20251219"
"226174E","0","0","1","1","0","0","0","20250910","20251218"
"226176E","1","1","1","1","1","0","0","20250910","20251219"
"226177E","1","1","1","1","1","1","0","20250910","20251220"
"226179E","1","1","1","1","1","1","0","20250903","20251231"
"226184E","1","1","1","1","1","0","0","20250910","20251231"
"226186E","1","1","1","1","1","0","0","20250910","20251231"
"226188E","0","0","1","1","1","0","0","20250903","20250905"
"226193E","1","0","0","0","0","0","0","20250908","20251229"
"226209E","1","1","1","1","1","0","0","20250903","20251231"
"226213E","1","1","1","0","0","0","0","20251222","20251231"
"226217E","1","1","1","1","1","0","0","20250903","20250909"
"226219E","1","1","1","1","1","1","0","20250903","20250909"
"226228E","0","0","0","0","0","0","0","20251225","20251225"
"226232E","0","0","0","0","0","1","0","20250906","20251227"
"226233E","0","0","0","0","0","1","0","20250906","20251227"
"226234E","1","0","1","1","0","0","0","20250910","20251218"
"226235E","1","0","0","1","0","0","0","20250911","20251218"
"226236E","0","1","0","0","0","0","0","20250916","20251216"
"226237E","0","1","0","1","0","0","0","20250911","20251218"
"226239E","0","0","0","0","0","1","0","20250913","20251220"
"226240E","0","0","0","0","0","1","0","20250913","20251220"
"226241E","0","0","0","0","0","1","0","20250913","20251220"
"226242E","1","1","1","1","1","0","0","20250910","20251219"
"226243E","1","1","1","1","1","0","0","20250910","20251219"
"226244E","1","1","1","1","1","0","0","20250910","20251219"
"226246E","1","1","1","1","1","0","0","20250910","20251219"
"226247E","1","1","1","1","1","0","0","20250910","20251219"
"226251E","1","1","1","1","1","1","0","20250903","20251231"
"226253E","1","1","1","0","0","1","0","20251222","20251231"
"226258E","1","1","1","1","1","0","0","20250903","20250909"
"226259E","1","1","1","1","1","0","0","20250910","20251231"
"226260E","1","1","1","1","1","0","0","20250910","20251231"
"226261E","1","1","1","1","1","0","0","20250910","20251231"
"226270E","1","0","0","0","0","0","0","20250908","20250908"
"226271E","1","0","0","0","0","0","0","20250908","20251229"
"226273E","0","0","0","0","1","0","0","20250905","20251219"
"226286E","1","1","1","0","0","0","0","20251222","20251231"
"226296E","1","1","1","1","1","1","0","20250910","20251231"
"226305E","0","0","0","0","0","0","1","20250907","20251228"
"226309E","1","1","1","1","1","1","1","20250910","20251231"
"226313E","0","0","0","0","0","1","0","20251227","20251227"
"226314E","0","0","0","0","0","1","0","20251227","20251227"
"226321E","0","0","0","0","0","1","0","20250913","20251227"
"226322E","1","1","1","0","1","0","0","20250910","20251219"
"226324E","1","0","0","0","1","0","0","20250912","20251219"
"226326E","0","0","1","0","0","0","0","20250910","20251217"
"226327E","0","0","0","1","0","0","0","20250911","20251218"
"226328E","0","0","0","0","0","1","0","20250913","20251220"
"226329E","0","0","0","0","0","1","0","20250913","20251220"
"226331E","1","1","1","1","1","0","0","20250910","20251219"
"226332E","1","1","1","1","1","0","0","20250910","20251219"
"226333E","1","1","1","1","1","0","0","20250910","20251219"
"226335E","1","1","1","1","1","1","0","20250903","20251231"
"226337E","1","1","1","1","1","1","0","20250903","20251231"
"226361E","0","1","1","1","1","1","0","20250903","20251231"
"226369E","1","1","1","0","0","0","0","20251222","20251231"
"226371E","1","1","1","1","1","0","0","20250903","20251231"
"226372E","1","1","1","1","1","0","0","20250903","20251231"
"226377E","1","1","1","1","1","1","0","20250903","20250909"
"226378E","1","1","1","1","1","1","0","20250910","20251231"
"226386E","0","0","0","0","0","0","0","20251225","20251225"
"226387E","0","0","0","0","0","1","0","20250906","20251227"
"226388E","0","0","0","0","0","1","0","20250906","20251227"
"226390E","0","0","0","0","0","1","0","20250906","20251227"
"226391E","0","0","0","0","0","1","0","20251227","20251227"
"226392E","0","0","0","0","0","1","0","20251227","20251227"
"226394E","0","0","0","0","0","1","0","20250906","20250906"
"226395E","0","0","0","0","0","1","0","20250913","20251227"
"226396E","0","0","0","0","0","1","0","20250913","20251227"
"226398E","1","1","0","1","1","0","0","20250911","20251219"
"226399E","1","0","1","1","1","0","0","20250910","20251219"
"226400E","1","0","1","0","1","0","0","20250910","20251219"
"226401E","1","1","1","1","1","0","0","20250910","20251219"
"226402E","1","1","1","1","1","0","0","20250910","20251219"
"226403E","1","1","1","1","1","0","0","20250910","20251219"
"226404E","1","1","1","1","1","0","0","20250910","20251219"
"226405E","1","1","1","1","1","0","0","20250910","20251219"
"226406E","1","1","1","1","1","0","0","20250910","20251219"
"226413E","1","1","1","1","1","0","0","20250903","20250909"
"226414E","1","1","1","1","1","0","0","20250903","20250909"
"226416E","1","1","1","1","1","0","0","20250910","20251231"
"226417E","1","1","1","0","0","0","0","20251222","20251231"
"226418E","1","1","1","0","0","0","0","20251222","20251231"
"226421E","1","0","0","0","0","0","0","20250908","20251229"
"226423E","0","1","1","1","1","1","0","20250903","20251231"
"226434E","1","1","1","1","1","0","0","20250903","20251219"
"226441E","1","1","1","1","1","0","0","20250903","20251231"
"226444E","1","1","1","1","1","0","0","20250903","20251231"
"226450E","1","1","1","1","1","1","0","20250903","20250909"
"226467E","0","0","0","0","0","1","0","20250906","20251227"
"226470E","0","0","0","0","0","1","0","20251227","20251227"
"226472E","0","0","0","0","0","1","0","20251227","20251227"
