"service_id","date","exception_type"
"225919E","20250903","1"
"225919E","20250904","1"
"225919E","20250905","1"
"225919E","20250908","1"
"225919E","20250909","1"
"225919E","20250910","1"
"225919E","20250911","1"
"225919E","20250912","1"
"225919E","20250915","1"
"225919E","20250916","1"
"225919E","20250917","1"
"225919E","20250918","1"
"225919E","20250919","1"
"225919E","20250922","1"
"225919E","20250923","1"
"225919E","20250924","1"
"225919E","20250925","1"
"225919E","20250926","1"
"225919E","20250929","1"
"225919E","20250930","1"
"225919E","20251001","1"
"225919E","20251002","1"
"225919E","20251003","1"
"225919E","20251006","1"
"225919E","20251007","1"
"225919E","20251008","1"
"225919E","20251009","1"
"225919E","20251010","1"
"225919E","20251013","1"
"225919E","20251014","1"
"225919E","20251015","1"
"225919E","20251016","1"
"225919E","20251017","1"
"225919E","20251020","1"
"225919E","20251021","1"
"225919E","20251022","1"
"225919E","20251023","1"
"225919E","20251024","1"
"225919E","20251027","1"
"225919E","20251028","1"
"225919E","20251029","1"
"225919E","20251030","1"
"225919E","20251031","1"
"225919E","20251103","1"
"225919E","20251104","1"
"225919E","20251105","1"
"225919E","20251106","1"
"225919E","20251107","1"
"225919E","20251110","1"
"225919E","20251111","1"
"225919E","20251112","1"
"225919E","20251113","1"
"225919E","20251114","1"
"225919E","20251117","1"
"225919E","20251118","1"
"225919E","20251119","1"
"225919E","20251120","1"
"225919E","20251121","1"
"225919E","20251124","1"
"225919E","20251125","1"
"225919E","20251126","1"
"225919E","20251127","1"
"225919E","20251128","1"
"225919E","20251201","1"
"225919E","20251202","1"
"225919E","20251203","1"
"225919E","20251204","1"
"225919E","20251205","1"
"225919E","20251208","2"
"225919E","20251209","1"
"225919E","20251210","1"
"225919E","20251211","1"
"225919E","20251212","1"
"225919E","20251215","1"
"225919E","20251216","1"
"225919E","20251217","1"
"225919E","20251218","1"
"225919E","20251219","1"
"225919E","20251222","1"
"225919E","20251223","1"
"225919E","20251224","1"
"225919E","20251225","2"
"225919E","20251226","2"
"225919E","20251229","1"
"225919E","20251230","1"
"225919E","20251231","1"
"225922E","20250903","1"
"225922E","20250904","1"
"225922E","20250905","1"
"225922E","20250908","1"
"225922E","20250909","1"
"225922E","20250910","1"
"225922E","20250911","1"
"225922E","20250912","1"
"225922E","20250915","1"
"225922E","20250916","1"
"225922E","20250917","1"
"225922E","20250918","1"
"225922E","20250919","1"
"225922E","20250922","1"
"225922E","20250923","1"
"225922E","20250924","1"
"225922E","20250925","1"
"225922E","20250926","1"
"225922E","20250929","1"
"225922E","20250930","1"
"225922E","20251001","1"
"225922E","20251002","1"
"225922E","20251003","1"
"225922E","20251006","1"
"225922E","20251007","1"
"225922E","20251008","1"
"225922E","20251009","1"
"225922E","20251010","1"
"225922E","20251013","1"
"225922E","20251014","1"
"225922E","20251015","1"
"225922E","20251016","1"
"225922E","20251017","1"
"225922E","20251020","1"
"225922E","20251021","1"
"225922E","20251022","1"
"225922E","20251023","1"
"225922E","20251024","1"
"225922E","20251027","1"
"225922E","20251028","1"
"225922E","20251029","1"
"225922E","20251030","1"
"225922E","20251031","1"
"225922E","20251103","1"
"225922E","20251104","1"
"225922E","20251105","1"
"225922E","20251106","1"
"225922E","20251107","1"
"225922E","20251110","1"
"225922E","20251111","1"
"225922E","20251112","1"
"225922E","20251113","1"
"225922E","20251114","1"
"225922E","20251117","1"
"225922E","20251118","1"
"225922E","20251119","1"
"225922E","20251120","1"
"225922E","20251121","1"
"225922E","20251124","1"
"225922E","20251125","1"
"225922E","20251126","1"
"225922E","20251127","1"
"225922E","20251128","1"
"225922E","20251201","1"
"225922E","20251202","1"
"225922E","20251203","1"
"225922E","20251204","1"
"225922E","20251205","1"
"225922E","20251208","2"
"225922E","20251209","1"
"225922E","20251210","1"
"225922E","20251211","1"
"225922E","20251212","1"
"225922E","20251215","1"
"225922E","20251216","1"
"225922E","20251217","1"
"225922E","20251218","1"
"225922E","20251219","1"
"225922E","20251222","1"
"225922E","20251223","1"
"225922E","20251224","1"
"225922E","20251225","2"
"225922E","20251226","2"
"225922E","20251229","1"
"225922E","20251230","1"
"225922E","20251231","1"
"225923E","20250903","1"
"225923E","20250904","1"
"225923E","20250905","1"
"225923E","20250908","1"
"225923E","20250909","1"
"225923E","20250910","1"
"225923E","20250911","1"
"225923E","20250912","1"
"225923E","20250915","1"
"225923E","20250916","1"
"225923E","20250917","1"
"225923E","20250918","1"
"225923E","20250919","1"
"225923E","20250922","1"
"225923E","20250923","1"
"225923E","20250924","1"
"225923E","20250925","1"
"225923E","20250926","1"
"225923E","20250929","1"
"225923E","20250930","1"
"225923E","20251001","1"
"225923E","20251002","1"
"225923E","20251003","1"
"225923E","20251006","1"
"225923E","20251007","1"
"225923E","20251008","1"
"225923E","20251009","1"
"225923E","20251010","1"
"225923E","20251013","1"
"225923E","20251014","1"
"225923E","20251015","1"
"225923E","20251016","1"
"225923E","20251017","1"
"225923E","20251020","1"
"225923E","20251021","1"
"225923E","20251022","1"
"225923E","20251023","1"
"225923E","20251024","1"
"225923E","20251027","1"
"225923E","20251028","1"
