"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"1949382E","12:21:17","12:21:17","5846","6","","0","0","","0"
"1949385E","07:26:17","07:26:17","5846","6","","0","0","","0"
"1949789E","06:26:17","06:26:17","5846","6","","0","0","","0"
"1950639E","08:21:17","08:21:17","5846","6","","0","0","","0"
"1950643E","19:01:17","19:01:17","5846","6","","0","0","","0"
"1950909E","08:21:17","08:21:17","5846","6","","0","0","","0"
"1950910E","12:36:17","12:36:17","5846","6","","0","0","","0"
"1950912E","19:01:17","19:01:17","5846","6","","0","0","","0"
"1950955E","07:01:17","07:01:17","5846","6","","0","0","","0"
"1951404E","08:21:17","08:21:17","5846","6","","0","0","","0"
"1951406E","12:21:17","12:21:17","5846","6","","0","0","","0"
"1951410E","19:01:17","19:01:17","5846","6","","0","0","","0"
"1951545E","17:01:17","17:01:17","5846","6","","0","0","","0"
"1951583E","13:31:17","13:31:17","5846","6","","0","0","","0"
"1951660E","07:01:17","07:01:17","5846","6","","0","0","","0"
"1951789E","19:01:17","19:01:17","5846","6","","0","0","","0"
"1951793E","12:21:17","12:21:17","5846","6","","0","0","","0"
"1951795E","08:21:17","08:21:17","5846","6","","0","0","","0"
"1952121E","08:21:17","08:21:17","5846","6","","0","0","","0"
"1952123E","12:21:17","12:21:17","5846","6","","0","0","","0"
"1952127E","19:01:17","19:01:17","5846","6","","0","0","","0"
"1952202E","15:36:17","15:36:17","5846","6","","0","0","","0"
"1952257E","06:26:17","06:26:17","5846","6","","0","0","","0"
"1952310E","06:26:17","06:26:17","5846","6","","0","0","","0"
"1952313E","07:01:17","07:01:17","5846","6","","0","0","","0"
"1950641E","14:21:17","14:21:17","5846","7","","0","0","","0"
"1950911E","14:21:17","14:21:17","5846","7","","0","0","","0"
"1951408E","14:21:17","14:21:17","5846","7","","0","0","","0"
"1951791E","14:21:17","14:21:17","5846","7","","0","0","","0"
"1952125E","14:21:17","14:21:17","5846","7","","0","0","","0"
